POSTE,HEURE,VITESSE,DEBIT (VEH/6min)
47,14:30,49.76,52.67
47,14:36,51.64,50.83
47,14:42,50.78,54.83
47,14:48,51.36,50.5
47,14:54,50.82,54.5
47,15:00,52.23,61.67
47,15:06,55.03,47.67
47,15:12,52.43,54.33
47,15:18,53.57,57.67
47,15:24,55.52,59.5
47,15:30,56.9,68
47,15:36,53.72,60.33
47,15:42,53.66,58.5
47,15:48,51.13,58
47,15:54,52.75,64.5
47,16:00,58.4,56.33
47,16:06,57.32,63.5
47,16:12,57.03,58.83
47,16:18,55.87,70
47,16:24,56.5,61.17
47,16:30,56.9,62.83
47,16:36,55.63,62
47,16:42,56.28,58.83
47,16:48,53.98,65.67
47,16:54,54.76,67.67
47,17:00,55.26,59.5
47,17:06,53.85,62.17
47,17:12,53.49,65
47,17:18,43.31,53.83
47,17:24,42.73,47.33
47,17:30,37.62,49.67
47,17:36,33.63,41.67
47,17:42,33.84,50
47,17:48,44.09,55.83
47,17:54,42.01,49.17
47,18:00,42.52,57.33
47,18:06,45.54,51.67
47,18:12,48.26,61.67
47,18:18,50.99,66
47,18:24,51.66,62.83
47,18:30,50.7,53.5
47,18:36,51.18,66
47,18:42,51.48,62.67
47,18:48,51.99,59.5
47,18:54,53.9,55.5
47,19:00,54.18,51.17
47,19:06,53.98,58.67
47,19:12,54.59,56.5
47,19:18,52.49,53.33
47,19:24,47.57,48.17
47,19:30,48.1,47.83
47,19:36,49.11,38.67
47,19:42,50.5,46.33
47,19:48,55.29,51
47,19:54,56.69,44.17
47,20:00,56.99,42
47,20:06,56.01,44.67
47,20:12,56.66,46.17
47,20:18,57.99,42.67
47,20:24,57.4,34
47,20:30,60.61,26.17
47,20:36,58.03,29.33
47,20:42,59.2,28
47,20:48,59.32,24.17
47,20:54,58.05,25
47,21:00,58.52,23
47,21:06,58.22,23.33
47,21:12,57.66,20.33
47,21:18,59.66,22.33
47,21:24,58.81,23
47,21:30,57.41,23.67
47,21:36,56.15,22
47,21:42,56.86,21
47,21:48,56.3,19.5
47,21:54,58.28,20.33
47,22:00,57.54,17
47,22:06,57.26,18.5
47,22:12,59.06,18.67
47,22:18,58.48,20.17
47,22:24,56.81,20.83
47,22:30,58.66,16.33
47,22:36,59.32,18.17
47,22:42,57.04,10.5
47,22:48,57.26,14.33
47,22:54,57.95,14
47,23:00,57.56,10.33
